arquivo,categoria,abertura_mm,profundidade_mm,severidade_pct,risco,conforme_abnt
avaria_10.ply,Rachadura,17.4174,119.1192,13.22,Crítico — intervenção imediata,False
avaria_12.ply,Rachadura,31.2068,19.7115,5.85,Crítico — intervenção imediata,False
avaria_13.ply,Rachadura,23.5921,25.9564,7.30,Crítico — intervenção imediata,False
avaria_17.ply,Rachadura,20.5451,10.5225,3.82,Crítico — intervenção imediata,False
avaria_19.ply,Rachadura,11.7615,159.6286,12.78,Crítico — intervenção imediata,False
avaria_2.ply,Rachadura,24.2749,156.6171,3.28,Crítico — intervenção imediata,False
avaria_20.ply,Rachadura,28.2389,156.6743,3.13,Crítico — intervenção imediata,False
avaria_21.ply,Rachadura,16.5719,15.2864,0.58,Crítico — intervenção imediata,False
avaria_22.ply,Rachadura,30.5234,178.7014,3.81,Crítico — intervenção imediata,False
avaria_24.ply,Rachadura,23.1297,271.2548,6.77,Crítico — intervenção imediata,False
avaria_26.ply,Rachadura,26.5430,219.0401,7.40,Crítico — intervenção imediata,False
avaria_27.ply,Rachadura,29.7697,15.0034,1.86,Crítico — intervenção imediata,False
avaria_28.ply,Rachadura,31.0312,13.7062,2.19,Crítico — intervenção imediata,False
avaria_29.ply,Rachadura,41.7561,16.0947,1.11,Crítico — intervenção imediata,False
avaria_3.ply,Rachadura,19.7696,385.9860,4.10,Crítico — intervenção imediata,False
avaria_30.ply,Rachadura,26.6120,20.6112,2.47,Crítico — intervenção imediata,False
avaria_31.ply,Rachadura,18.9986,15.2074,4.86,Crítico — intervenção imediata,False
avaria_32.ply,Rachadura,35.8419,119.5924,1.51,Crítico — intervenção imediata,False
avaria_33.ply,Rachadura,19.5955,486.1314,5.33,Crítico — intervenção imediata,False
avaria_34.ply,Rachadura,19.9778,210.4762,8.09,Crítico — intervenção imediata,False
avaria_35.ply,Rachadura,12.0526,157.2109,18.92,Crítico — intervenção imediata,False
avaria_36.ply,Rachadura,16.2005,500.5136,11.86,Crítico — intervenção imediata,False
avaria_37.ply,Rachadura,24.5005,95.3716,8.10,Crítico — intervenção imediata,False
avaria_38.ply,Rachadura,27.4954,100.1493,3.10,Crítico — intervenção imediata,False
avaria_39.ply,Rachadura,22.5069,16.3998,3.14,Crítico — intervenção imediata,False
avaria_4.ply,Rachadura,18.2677,434.9352,10.63,Crítico — intervenção imediata,False
avaria_40.ply,Rachadura,15.0992,139.9980,13.18,Crítico — intervenção imediata,False
avaria_41.ply,Rachadura,14.0893,106.7808,15.71,Crítico — intervenção imediata,False
avaria_42.ply,Rachadura,10.0521,100.1365,11.86,Crítico — intervenção imediata,False
avaria_6.ply,Rachadura,10.6050,13.0339,17.45,Crítico — intervenção imediata,False
avaria_7.ply,Rachadura,19.6909,361.7950,4.84,Crítico — intervenção imediata,False
avaria_9.ply,Rachadura,16.1963,11.9297,6.62,Crítico — intervenção imediata,False
